labels	texts
0	rt tag cluth staff specialist says believes staff one taken hospital ambulance and helicopter craa …
0	number tag nasa bubong digits cap nayaine dequit digits langka st bulelak tatanday marikina city digits mdph
0	rt tag nsw lnp upset firefighters route spirit fire budget cutscostlives - via tag
0	tag please help friend wyl lost home business colorado floods link please spread
0	rt tag digits days trapped in factory collapse and strong woman finally rescued link
0	rt tag sources suspect opened his rifle document engraved terminal digits lax
0	rto least digits people dead brazil nightclub fire link
0	rt tag among ap digits things know today us surveillance survives close vote digits dead drop train derailment link vw
0	meteorite injures hundreds russia tekjournalismuk link
0	tag bangladesh fire kills digits toll tsunami hits digits bangladesh fire kills digits collapse toll hits digits tag
0	fire spreads venezuela four digits dead intense fire venezuelan refinery spread venezuelan fuel distribution link
0	rt tag gibraltar injured plant explosion near waco texas taken hospitals troopers link
0	rt tag seen helicopter crash glasgow hope hope ok people trapped .
0	rt tag team chief priest david black nsw central west killed fighting nswfires morning good man link
0	tag helicopter crashes glasgow pub eight die three dead crew aircraft tag
0	rti death toll bangladesh factory sales passes digits police say link
0	tag tag least digits people dead living pub life crash bbc learns link brutha
0	rt tag breaking officials digits dead or injured at train derailment link
0	detroit police say death toll garment factory workers topped digits
0	first photos tsa - lax info link
0	rt tag al men de muertosos alli cien desaparecidos deja terremoto en guatemala .
0	rt tag rescueph pregnant woman staying top roof 3 digits kapiligan set brgy dona imelda qc please help
0	“ tag breaking gov cuomo 7 digits people : digits injured metro north train derailment bronx ” !
0	algun tres muertosos en san marcos deja un fuerte terremoto en guatemala .
0	2008 toll bangladesh building collapse digits savar bangladesh ap — deep cracks visible wa link
0	rt tag couple died others arms gap alliance collapse incident link
0	know lax shooting man opens fire rifle digits dead several manly .
0	tag three dead pub rescue crash least three people died police helicopter crashed tag
0	rt taglist derailed nyc killing / injuring digits let keep mourning death digits celeb better know
0	miles de persona desplazadass por un terremoto en elesde italia de ultimahora
0	nyc train derailment kills residents hurts digits questions raised about excessive speed human erro link
0	falaram que os queridos por send atendidos pelos colegas do faculdadeoo universitario com acuvacao apertado santamaria
0	the of glasgow helicopter crash victims named link
0	rt tag digits shocking twitter pictures colorado springs campfire .
0	china news death toll bangladesh : tops 56 digits link
0	rt tag paul anthony providencia johnson lax shooting suspect photo search identified individual link
0	rt tagel nightclub death toll revised digits fire services victims families gather scene santa maria link
0	rt tag update boulder co us army rescues digits people lost hours jamestown big elk storm digits come cofloodune tag
0	rt tag woman pulled alive bangladesh factory collapse digits days significant injuries link
0	hundreds believed injured oklahoma fertilizer plant web yahoo news link via tag
0	rt tag breaking news digits dead digits an horrific airport derailment ) spain digits buff link
0	australia dramatic rescues amidst storms flooding emergency services facility ceasefire rescues link
0	rt tag law enforcement official suspect laxshooting - treated trademark link lax
0	in de si mort digits futur destruidososos digits familias complecao partido digits sonhos se se tornaremm realidade santamaria
0	rt tag searches four people confirmed dead digits injured metro north train ticket new york transit department says link
0	really coming sowet australia
0	sismo en centroamerica umbria dejado digits muertos en guatemala link noticias
0	rt tag eight confirmed dead life digits homes destroyed colorado floods link
0	mng rushing aid poor building collapse bangladesh kills digits people injures hundreds .
0	rt tag mon ami est bolduc eta au lac megantic hier soir il avaitit chansonnier que musi tu si quelqu un des nouvelles mot …
0	not fired lax reported suspect custody digits digits 15 sure flights delayed least digits hrs
0	rt tag tag mains help lara nonecon tables digits maligaya st rosario cbd cainta water rising digits rescueph digits cares
0	rt tag on digits digits earthquake philippines ¹ according authorities
0	believe city burning feel love colorado springs dont she evacuate
0	bigwet crews distributed power digits from customers affected severe weather generated ex tropical cyclone oswald yesterday
0	lax customs update checkpoint digits dead digits injured confirmed shooter may .
0	rt at least four dead digits injured new england york train derailment fire department reuters soon metronorth ne …
